"Start Time","Duration","Run ID","Name","Source Type","Source Name","User","Status","batch_size","colorjitter","dropout","learning_rate","normalize","randomerasing","randomhorizontalflip","randomrotation","weight_decay","epoch","lr-AdamW","train_auroc","train_f1_macro","train_loss_epoch","train_loss_step","train_precision","train_recall","val_auroc","val_f1_macro","val_loss_epoch","val_loss_step","val_precision","val_recall"
"2025-03-29 16:39:47","3.3min","724d57999ad143e7b14d5be64e05e194","powerful-crab-417","LOCAL","c:\Users\SPCX\Desktop\github-repositories\dl-cnn\.venv\Lib\site-packages\ipykernel_launcher.py","SPCX","FINISHED","64","0","0.1","0.001","0","0","0.5","0","0.0001","99","0.00046533333333333355","0.9992565512657166","0.9649078249931335","0.10588330030441284","0.34721067547798157","0.9649489521980286","0.964900016784668","0.8575223088264465","0.4646240472793579","3.0724098682403564","4.383248329162598","0.4646950960159302","0.4702000021934509"
"2025-03-29 16:36:28","3.3min","9cc8237a6890483698d498d598605400","loud-grub-788","LOCAL","c:\Users\SPCX\Desktop\github-repositories\dl-cnn\.venv\Lib\site-packages\ipykernel_launcher.py","SPCX","FINISHED","64","0","0.1","0.001","0","0","0.5","0","0.0001","99","0.00046533333333333355","0.9994922876358032","0.9711177349090576","0.09170175343751907","0.20453843474388123","0.9712024927139282","0.9711000919342041","0.8601577877998352","0.4725181758403778","3.0676398277282715","4.080832004547119","0.47551125288009644","0.4722999930381775"
"2025-03-29 16:33:08","3.3min","4f32a86284e24a018c29e4b82884e045","stately-hound-279","LOCAL","c:\Users\SPCX\Desktop\github-repositories\dl-cnn\.venv\Lib\site-packages\ipykernel_launcher.py","SPCX","FINISHED","64","0","0.1","0.001","0","0","0.5","0","0.0001","99","0.00046533333333333355","0.9992448687553406","0.9642003774642944","0.10758303105831146","0.1420896351337433","0.9642192125320435","0.9642000198364258","0.8547093272209167","0.4550647437572479","3.1124839782714844","2.9071011543273926","0.4629053473472595","0.462799996137619"
"2025-03-29 16:29:49","3.3min","d38f28035e714cd5b81ca77b0effb556","vaunted-tern-800","LOCAL","c:\Users\SPCX\Desktop\github-repositories\dl-cnn\.venv\Lib\site-packages\ipykernel_launcher.py","SPCX","FINISHED","64","0","0.1","0.001","0","0","0.5","0","0.0001","99","0.00046533333333333355","0.9994444847106934","0.9707920551300049","0.09408320486545563","0.5502585172653198","0.970794677734375","0.97079998254776","0.8604301810264587","0.4668177366256714","3.058159112930298","3.374568223953247","0.47147464752197266","0.46790000796318054"
"2025-03-29 16:26:29","3.3min","70b24861abb0497f90f7a9eecc4d9c50","glamorous-hen-523","LOCAL","c:\Users\SPCX\Desktop\github-repositories\dl-cnn\.venv\Lib\site-packages\ipykernel_launcher.py","SPCX","FINISHED","64","0","0.1","0.001","0","0","0.5","0","0.0001","99","0.00046533333333333355","0.9995042681694031","0.970490574836731","0.08969341218471527","0.16181740164756775","0.9704957008361816","0.9704999923706055","0.8601952791213989","0.4687725901603699","3.015333414077759","3.5269675254821777","0.4731598496437073","0.4681999981403351"
"2025-03-29 16:23:08","3.4min","54d63360d17d4de997f3e55366e06545","angry-wasp-638","LOCAL","c:\Users\SPCX\Desktop\github-repositories\dl-cnn\.venv\Lib\site-packages\ipykernel_launcher.py","SPCX","FINISHED","64","0","0.1","0.001","0","0","0.5","0","0.0001","99","0.00046533333333333355","0.9993478059768677","0.9656994342803955","0.10182492434978485","0.2095661163330078","0.96570885181427","0.9657000303268433","0.8594661951065063","0.46706870198249817","3.0274994373321533","3.698056221008301","0.46851637959480286","0.46970000863075256"
"2025-03-29 16:19:47","3.3min","ed539ee65a754229be70e7801759152d","useful-bee-591","LOCAL","c:\Users\SPCX\Desktop\github-repositories\dl-cnn\.venv\Lib\site-packages\ipykernel_launcher.py","SPCX","FINISHED","64","0","0.1","0.001","0","0","0.5","0","0.0001","99","0.00046533333333333355","0.9994408488273621","0.9681991338729858","0.09597539901733398","0.03183489292860031","0.9682283401489258","0.9682000279426575","0.861824631690979","0.47574299573898315","3.0051770210266113","4.27785587310791","0.4790540635585785","0.4797999858856201"
"2025-03-29 16:16:27","3.3min","4ee078916cab490597b4e133069e1737","whimsical-foal-580","LOCAL","c:\Users\SPCX\Desktop\github-repositories\dl-cnn\.venv\Lib\site-packages\ipykernel_launcher.py","SPCX","FINISHED","64","0","0.1","0.001","0","0","0.5","0","0.0001","99","0.00046533333333333355","0.9995134472846985","0.972801685333252","0.08878825604915619","0.09690473973751068","0.9728104472160339","0.9728000164031982","0.8566722273826599","0.46235954761505127","3.091148853302002","5.715526580810547","0.47006645798683167","0.46570003032684326"
"2025-03-29 16:13:06","3.4min","c8ed57cd4eae442d9983f6af590fc8bf","inquisitive-mule-5","LOCAL","c:\Users\SPCX\Desktop\github-repositories\dl-cnn\.venv\Lib\site-packages\ipykernel_launcher.py","SPCX","FINISHED","64","0","0.1","0.001","0","0","0.5","0","0.0001","99","0.00046533333333333355","0.9993738532066345","0.969900369644165","0.09656574577093124","0.1448560655117035","0.969908595085144","0.9699000120162964","0.8567253351211548","0.46437832713127136","3.095081329345703","3.389890193939209","0.4709808826446533","0.4643999934196472"
"2025-03-29 16:09:44","3.4min","4729019907674c8ab49de8e01f8c40f3","awesome-finch-89","LOCAL","c:\Users\SPCX\Desktop\github-repositories\dl-cnn\.venv\Lib\site-packages\ipykernel_launcher.py","SPCX","FINISHED","64","0","0.1","0.001","0","0","0.5","0","0.0001","99","0.00046533333333333355","0.9993961453437805","0.9662886261940002","0.09815960377454758","0.3430670499801636","0.9663142561912537","0.9663000106811523","0.8552762866020203","0.446627140045166","3.120100975036621","4.639405727386475","0.4551853537559509","0.45350003242492676"
