"Start Time","Duration","Run ID","Name","Source Type","Source Name","User","Status","batch_size","dropout","learning_rate","weight_decay","epoch","test_auroc","test_f1_macro","test_precision","test_recall","train_auroc","train_f1_macro","train_loss_epoch","train_loss_step","train_precision","train_recall","val_auroc","val_f1_macro","val_loss_epoch","val_loss_step","val_precision","val_recall"
"2025-03-21 18:53:23","7.9min","6cef67e892b349e08f88b08c4fb0c8af","powerful-crab-417","LOCAL","c:\Users\SPCX\Desktop\github-repositories\dl-cnn\.venv\Lib\site-packages\ipykernel_launcher.py","SPCX","FINISHED","512","0.2","0.0014454397707459282","0.001","50","0.9064456820487976","0.557223379611969","0.5588091015815735","0.5574777722358704","0.983578622341156","0.8113933801651001","0.5232123732566833","0.5068023204803467","0.8113685846328735","0.8116111755371094","0.9068650603294373","0.5598408579826355","1.488148808479309","1.4396013021469116","0.5615583658218384","0.5600444674491882"
"2025-03-21 18:45:19","8.1min","031455e5d34a4daf9ffb3504b66abb27","loud-grub-788","LOCAL","c:\Users\SPCX\Desktop\github-repositories\dl-cnn\.venv\Lib\site-packages\ipykernel_launcher.py","SPCX","FINISHED","512","0.2","0.0014454397707459282","0.001","50","0.9070279002189636","0.557857871055603","0.5663914680480957","0.5595999956130981","0.9835198521614075","0.8112442493438721","0.5227193236351013","0.5049954652786255","0.811130166053772","0.8115000128746033","0.9075371623039246","0.5598009824752808","1.59344482421875","1.521367073059082","0.5679794549942017","0.5617555975914001"
"2025-03-21 18:37:20","8.0min","dfbb1f35e13e43e8b573e37be82ed7e6","stately-hound-279","LOCAL","c:\Users\SPCX\Desktop\github-repositories\dl-cnn\.venv\Lib\site-packages\ipykernel_launcher.py","SPCX","FINISHED","512","0.2","0.0014454397707459282","0.001","50","0.909419059753418","0.5625582337379456","0.5636850595474243","0.5637111067771912","0.982921302318573","0.8092852830886841","0.5302327871322632","0.5627485513687134","0.8092561960220337","0.809511125087738","0.9097437262535095","0.5640294551849365","1.487204909324646","1.4349055290222168","0.5652350783348083","0.565155565738678"
"2025-03-21 18:29:20","8.0min","68da0560501145bfbcaf7d987f0425a5","vaunted-tern-800","LOCAL","c:\Users\SPCX\Desktop\github-repositories\dl-cnn\.venv\Lib\site-packages\ipykernel_launcher.py","SPCX","FINISHED","512","0.2","0.0014454397707459282","0.001","50","0.9042753577232361","0.5532218217849731","0.5554522275924683","0.5545333027839661","0.9828386306762695","0.8078436851501465","0.5339249968528748","0.5106355547904968","0.8077391386032104","0.8080777525901794","0.9051069617271423","0.5559129118919373","1.5655128955841064","1.6100726127624512","0.5582889914512634","0.556922197341919"
"2025-03-21 18:21:30","7.8min","3b7a9ebee8fd4f93a2baedec05f2013e","glamorous-hen-523","LOCAL","c:\Users\SPCX\Desktop\github-repositories\dl-cnn\.venv\Lib\site-packages\ipykernel_launcher.py","SPCX","FINISHED","512","0.2","0.0014454397707459282","0.001","50","0.9064049124717712","0.5557029247283936","0.5608929395675659","0.5564777851104736","0.9836750030517578","0.813156008720398","0.5210223197937012","0.5734126567840576","0.8130722045898438","0.8133888840675354","0.9068678021430969","0.5551719069480896","1.5198326110839844","1.6426749229431152","0.560058057308197","0.5561221837997437"
"2025-03-21 18:13:06","8.4min","c6e98f0d76f14d58853449c5302784ac","angry-wasp-638","LOCAL","c:\Users\SPCX\Desktop\github-repositories\dl-cnn\.venv\Lib\site-packages\ipykernel_launcher.py","SPCX","FINISHED","512","0.2","0.0014454397707459282","0.001","50","0.9046762585639954","0.5530138611793518","0.5618388652801514","0.5531444549560547","0.9834873080253601","0.8101396560668945","0.5234612822532654","0.5244194269180298","0.8101119995117188","0.8103110790252686","0.9054529070854187","0.5539635419845581","1.6192829608917236","2.0140938758850098","0.5630020499229431","0.5543333292007446"
"2025-03-21 18:04:46","8.3min","988d6cf07a644d0db7194d217710ad22","useful-bee-591","LOCAL","c:\Users\SPCX\Desktop\github-repositories\dl-cnn\.venv\Lib\site-packages\ipykernel_launcher.py","SPCX","FINISHED","512","0.2","0.0014454397707459282","0.001","50","0.9086223840713501","0.5619990229606628","0.5696824789047241","0.5621111392974854","0.9841376543045044","0.8145945072174072","0.5137390494346619","0.5185289978981018","0.8144960403442383","0.814811110496521","0.9090407490730286","0.5615922212600708","1.5245640277862549","1.6562767028808594","0.5689898729324341","0.5618666410446167"
"2025-03-21 17:56:24","8.4min","851926f57d22486a921da27127262612","whimsical-foal-580","LOCAL","c:\Users\SPCX\Desktop\github-repositories\dl-cnn\.venv\Lib\site-packages\ipykernel_launcher.py","SPCX","FINISHED","512","0.2","0.0014454397707459282","0.001","50","0.9050773978233337","0.5538569688796997","0.5646116733551025","0.5514999628067017","0.9836341142654419","0.8128609657287598","0.5202873945236206","0.5376870632171631","0.8127827048301697","0.8130666613578796","0.9062768816947937","0.5563904643058777","1.5578348636627197","1.5527645349502563","0.5670632719993591","0.5541999936103821"
"2025-03-21 17:48:07","8.3min","c98945ce6441458f8316540739c35b50","inquisitive-mule-5","LOCAL","c:\Users\SPCX\Desktop\github-repositories\dl-cnn\.venv\Lib\site-packages\ipykernel_launcher.py","SPCX","FINISHED","512","0.2","0.0014454397707459282","0.001","50","0.9064598083496094","0.5536412000656128","0.5644019842147827","0.5512333512306213","0.9837140440940857","0.813132107257843","0.5200790762901306","0.5198614597320557","0.8130596876144409","0.8133777379989624","0.9078903198242188","0.5604997873306274","1.5431897640228271","1.640168309211731","0.5719232559204102","0.5580444931983948"
"2025-03-21 17:40:16","7.8min","7de6a09bedc341e2a6bbe8ebe3e553f7","awesome-finch-89","LOCAL","c:\Users\SPCX\Desktop\github-repositories\dl-cnn\.venv\Lib\site-packages\ipykernel_launcher.py","SPCX","FINISHED","512","0.2","0.0014454397707459282","0.001","50","0.9037438631057739","0.5463991761207581","0.5577850341796875","0.5458555221557617","0.9833130240440369","0.809504508972168","0.5258722901344299","0.5673103332519531","0.8093860149383545","0.8097777962684631","0.9048275351524353","0.5514101386070251","1.589499831199646","1.216156244277954","0.563400149345398","0.5504000186920166"
